coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,hl_funding_rate,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
DOGE,DOGE/USDT:USDT,DOGEUSDT,0.12393,0.12394,9.999999999996123e-06,0.008068745713475713,-0.00089195,0.12392,0.12393,9.999999999996123e-06,0.00806939681258513
SOL,SOL/USDT:USDT,SOLUSDT,124.15,124.16,0.009999999999990905,0.00805444806893875,-0.0048278800000000005,124.15,124.16,0.009999999999990905,0.00805444806893875
ETH,ETH/USDT:USDT,ETHUSDT_260626,2941.0,2941.1,0.09999999999990905,0.0034001462062837775,0.0059978,3000.6,3000.86,0.2600000000002183,0.008664558290823176
ZEC,ZEC/USDT:USDT,ZECUSDT,527.41,527.42,0.009999999999990905,0.0018960401202072193,0.00085356,526.99,527.0,0.009999999999990905,0.0018975512101615587
BTC,BTC/USDT:USDT,BTCUSDT_260626,87646.0,87647.0,1.0,0.0011409468718089142,0.0019794500000000002,89983.4,90007.4,24.0,0.026668029699295746
