coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,hl_funding_rate,hl_maker_fee,hl_taker_fee,hl_net_profit,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct,bz_maker_fee,bz_taker_fee,bz_net_profit,arbitrage_net
DOGE,DOGE/USDT:USDT,DOGEUSDT,0.12349,0.1235,9.999999999996123e-06,0.008097493825657819,-0.00089195,0.025,0.05,0,0.12348,0.12349,9.999999999996123e-06,0.00809814957281947,0.02,0.04,0,0
SOL,SOL/USDT:USDT,SOLUSDT,123.61,123.62,0.010000000000005116,0.00808963313514146,-0.0048278800000000005,0.025,0.05,0,123.61,123.62,0.010000000000005116,0.00808963313514146,0.02,0.04,0,0
ETH,ETH/USDT:USDT,ETHUSDT_260626,2930.0,2930.1,0.09999999999990905,0.0034129110424705733,0.0059978,0.025,0.05,0,2989.92,2990.4,0.4800000000000182,0.016052652700859427,0.02,0.04,0,0
ZEC,ZEC/USDT:USDT,ZECUSDT,526.02,526.03,0.009999999999990905,0.001901050330305766,0.00085356,0.025,0.05,0,525.57,525.58,0.009999999999990905,0.0019026780193104511,0.02,0.04,0,0
BTC,BTC/USDT:USDT,BTCUSDT_260626,87587.0,87588.0,1.0,0.0011417154274297131,0.0019794500000000002,0.025,0.05,0,89897.6,89908.6,11.0,0.012235395664888083,0.02,0.04,0,0
