coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
DOGE,DOGE/USDT:USDT,DOGEUSDT,0.12399,0.124,9.999999999996123e-06,0.008064841324243819,0.12398,0.12399,9.999999999996123e-06,0.008065491793358973
SOL,SOL/USDT:USDT,SOLUSDT,124.17,124.18,0.010000000000005116,0.008053150795252761,124.14,124.15,0.010000000000005116,0.008055096862543892
ETH,ETH/USDT:USDT,ETHUSDT_260626,2941.3,2941.4,0.09999999999990905,0.0033997994118316094,3000.47,3000.6,0.13000000000010914,0.004332560693346658
ZEC,ZEC/USDT:USDT,ZECUSDT,528.29,528.3,0.009999999999990905,0.0018928818179219764,527.74,527.75,0.009999999999990905,0.0018948545225423083
BTC,BTC/USDT:USDT,BTCUSDT_260626,87662.0,87663.0,1.0,0.0011407386282617994,89940.4,89943.4,3.0,0.0033354865752224495
