coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
BTC,BTC/USDT:USDT,BTCUSDT_260626,,,,,90040.8,90066.2,25.39999999999418,0.028205455645804085
ETH,ETH/USDT:USDT,ETHUSDT_260626,,,,,3004.32,3004.69,0.36999999999989086,0.012314840547773787
SOL,SOL/USDT:USDT,SOLUSDT,,,,,124.44,124.45,0.010000000000005116,0.008035678412154057
ZEC,ZEC/USDT:USDT,ZECUSDT,,,,,535.71,535.72,0.009999999999990905,0.0018666641777793985
DOGE,DOGE/USDT:USDT,DOGEUSDT,,,,,0.12419,0.1242,1.0000000000010001e-05,0.008051853939377593
LTC,LTC/USDT:USDT,LTCUSDT,,,,,79.35,79.36,0.010000000000005116,0.012601600403257661
XRP,XRP/USDT:USDT,XRPUSDT,,,,,1.8691,1.8692,9.999999999998899e-05,0.005350025412620121
BNB,BNB/USDT:USDT,BNBUSDT,,,,,865.26,865.27,0.009999999999990905,0.0011557153010916777
AVAX,AVAX/USDT:USDT,AVAXUSDT,,,,,12.681,12.682,0.0010000000000012221,0.007885502503656681
ENA,ENA/USDT:USDT,ENAUSDT,,,,,0.2088,0.2089,9.999999999998899e-05,0.04788125448886233
AAVE,AAVE/USDT:USDT,AAVEUSDT,,,,,154.4,154.41,0.009999999999990905,0.0064764742074355786
LINK,LINK/USDT:USDT,LINKUSDT,,,,,12.485,12.486,0.0010000000000012221,0.008009290777311457
ARB,ARB/USDT:USDT,ARBUSDT,,,,,0.1961,0.1962,0.00010000000000001674,0.050981391792004456
ADA,ADA/USDT:USDT,ADAUSDT,,,,,0.3696,0.3697,9.999999999998899e-05,0.027052617340724738
BCH,BCH/USDT:USDT,BCHUSDT,,,,,629.95,629.96,0.009999999999990905,0.0015874149740840067
TIA,TIA/USDT:USDT,TIAUSDT,,,,,0.4748,0.4749,9.999999999998899e-05,0.021059281878485624
CRV,CRV/USDT:USDT,CRVUSDT,,,,,0.394,0.395,0.0010000000000000009,0.25348542458808637
TRX,TRX/USDT:USDT,TRXUSDT,,,,,0.28411,0.28412,1.0000000000010001e-05,0.0035197015293138346
WLD,WLD/USDT:USDT,WLDUSDT,,,,,0.5074,0.5075,9.999999999998899e-05,0.019706375012314314
UNI,UNI/USDT:USDT,UNIUSDT,,,,,6.365,6.366,0.0009999999999994458,0.015709685020806625
APT,APT/USDT:USDT,APTUSDT,,,,,1.7243,1.7244,9.999999999998899e-05,0.00579928668773677
NEAR,NEAR/USDT:USDT,NEARUSDT,,,,,1.576,1.577,0.0009999999999998899,0.0634316523945379
FIL,FIL/USDT:USDT,FILUSDT,,,,,1.346,1.347,0.0009999999999998899,0.07426661715558039
SEI,SEI/USDT:USDT,SEIUSDT,,,,,0.1162,0.1163,0.00010000000000000286,0.08602150537634656
DOT,DOT/USDT:USDT,DOTUSDT,,,,,1.876,1.877,0.001000000000000112,0.05329070077272112
PENDLE,PENDLE/USDT:USDT,PENDLEUSDT,,,,,1.9021,1.9022,9.999999999998899e-05,0.005257208947769051
JUP,JUP/USDT:USDT,JUPUSDT,,,,,0.1995,0.1996,9.999999999998899e-05,0.050112753695810065
ONDO,ONDO/USDT:USDT,ONDOUSDT,,,,,0.3885,0.3886,9.999999999998899e-05,0.025736713421693216
LDO,LDO/USDT:USDT,LDOUSDT,,,,,0.5866,0.5867,9.999999999998899e-05,0.017045938805077814
TON,TON/USDT:USDT,TONUSDT,,,,,1.6492,1.6493,9.999999999998899e-05,0.006063362134302804
XLM,XLM/USDT:USDT,XLMUSDT,,,,,0.22194,0.22195,1.0000000000010001e-05,0.004505620761904977
HBAR,HBAR/USDT:USDT,HBARUSDT,,,,,0.11572,0.11573,9.999999999996123e-06,0.008641175199823827
INJ,INJ/USDT:USDT,INJUSDT,,,,,4.788,4.789,0.0009999999999994458,0.02088336639865189
ETHFI,ETHFI/USDT:USDT,ETHFIUSDT,,,,,0.7045,0.7047,0.00019999999999997797,0.028384899233604592
POL,POL/USDT:USDT,POLUSDT,,,,,0.10762,0.10763,1.0000000000010001e-05,0.00929152148665273
FET,FET/USDT:USDT,FETUSDT,,,,,0.2181,0.2182,0.00010000000000001674,0.045840018336015004
OP,OP/USDT:USDT,OPUSDT,,,,,0.2753,0.2754,9.999999999998899e-05,0.03631741420010495
AR,AR/USDT:USDT,ARUSDT,,,,,3.72,3.721,0.0009999999999998899,0.026878107781209238
IMX,IMX/USDT:USDT,IMXUSDT,,,,,0.2392,0.2393,0.00010000000000001674,0.041797283176600517
JTO,JTO/USDT:USDT,JTOUSDT,,,,,0.3944,0.3945,0.0001000000000000445,0.02535175560908721
ATOM,ATOM/USDT:USDT,ATOMUSDT,,,,,2.077,2.078,0.0009999999999998899,0.04813477737664934
RENDER,RENDER/USDT:USDT,RENDERUSDT,,,,,1.322,1.323,0.0009999999999998899,0.07561436672967031
PYTH,PYTH/USDT:USDT,PYTHUSDT,,,,,0.06109,0.0611,1.0000000000003062e-05,0.016367951550868422
APE,APE/USDT:USDT,APEUSDT,,,,,0.2103,0.2104,0.00010000000000001674,0.04753981459473104
DYDX,DYDX/USDT:USDT,DYDXUSDT,,,,,0.174,0.175,0.0010000000000000009,0.5730659025787972
ORDI,ORDI/USDT:USDT,ORDIUSDT,,,,,4.265,4.266,0.001000000000000334,0.023443910444269935
ETC,ETC/USDT:USDT,ETCUSDT,,,,,12.247,12.248,0.0009999999999994458,0.008164931618693168
CAKE,CAKE/USDT:USDT,CAKEUSDT,,,,,1.8795,1.8796,9.999999999998899e-05,0.005320422441541272
W,W/USDT:USDT,WUSDT,,,,,0.03494,0.03495,1.0000000000003062e-05,0.028616397195601835
SNX,SNX/USDT:USDT,SNXUSDT,,,,,0.441,0.442,0.0010000000000000009,0.22650056625141582
CELO,CELO/USDT:USDT,CELOUSDT,,,,,0.12,0.121,0.0010000000000000009,0.8298755186721999
KAS,KAS/USDT:USDT,KASUSDT,,,,,0.04467,0.04468,9.999999999996123e-06,0.022383883603796582
