coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
BTC,BTC/USDT:USDT,BTCUSDT_260626,,,,,90139.2,90152.4,13.19999999999709,0.01464294509560855
ETH,ETH/USDT:USDT,ETHUSDT_260626,,,,,3007.43,3007.73,0.3000000000001819,0.009974797012886836
SOL,SOL/USDT:USDT,SOLUSDT,,,,,124.55,124.56,0.010000000000005116,0.008028581751037787
ZEC,ZEC/USDT:USDT,ZECUSDT,,,,,536.04,536.05,0.009999999999990905,0.0018655150220580187
DOGE,DOGE/USDT:USDT,DOGEUSDT,,,,,0.12436,0.12437,9.999999999996123e-06,0.008040847505323944
