coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
BTC,BTC/USDT:USDT,BTCUSDT_260626,,,,,90177.8,90185.7,7.899999999994179,0.008760087268204686
ETH,ETH/USDT:USDT,ETHUSDT_260626,,,,,3007.74,3008.12,0.38000000000010914,0.012633272715791564
SOL,SOL/USDT:USDT,SOLUSDT,,,,,124.63,124.64,0.010000000000005116,0.008023428410964109
ZEC,ZEC/USDT:USDT,ZECUSDT,,,,,535.93,535.94,0.010000000000104592,0.001865897916744492
DOGE,DOGE/USDT:USDT,DOGEUSDT,,,,,0.12437,0.12438,1.0000000000010001e-05,0.008040201005033167
