coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,hl_funding_rate,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
ARB,ARB/USDT:USDT,ARBUSDT,0.19577,0.19581,4.000000000001225e-05,0.020430052607391717,-7.549999999999999e-05,0.1958,0.1959,9.999999999998899e-05,0.051059484299202956
TON,TON/USDT:USDT,TONUSDT,1.6489,1.6492,0.00029999999999996696,0.018192292532061914,0.00125,1.648,1.6481,9.999999999998899e-05,0.006067777069869785
APT,APT/USDT:USDT,APTUSDT,1.7227,1.723,0.000300000000000189,0.017413007516625882,-0.0035837499999999997,1.7226,1.7227,9.999999999998899e-05,0.0058050097233906485
ETC,ETC/USDT:USDT,ETCUSDT,12.216,12.218,0.002000000000000668,0.016370631087833907,0.00125,12.217,12.218,0.0009999999999994458,0.008184980560666633
LINK,LINK/USDT:USDT,LINKUSDT,12.455,12.457,0.002000000000000668,0.01605651894669772,-0.00018000999999999998,12.455,12.456,0.0009999999999994458,0.00802858175102923
BCH,BCH/USDT:USDT,BCHUSDT,619.14,619.23,0.09000000000003183,0.014535235834206553,-0.00453499,619.0,619.02,0.01999999999998181,0.00323096557405887
ATOM,ATOM/USDT:USDT,ATOMUSDT,2.075,2.0753,0.0002999999999997449,0.014456786256402909,-0.00826266,2.075,2.076,0.0009999999999998899,0.04818116116597879
ENA,ENA/USDT:USDT,ENAUSDT,0.20849,0.20852,3.0000000000002247e-05,0.014388144169205655,-0.01025305,0.2084,0.2085,9.999999999998899e-05,0.04797313504436987
AAVE,AAVE/USDT:USDT,AAVEUSDT,154.25,154.27,0.020000000000010232,0.012965123816939086,0.0009752099999999999,154.2,154.21,0.010000000000019327,0.006484874031334475
NEAR,NEAR/USDT:USDT,NEARUSDT,1.5765,1.5767,0.00019999999999997797,0.012685525815043638,0.01103283,1.576,1.577,0.0009999999999998899,0.0634316523945379
LDO,LDO/USDT:USDT,LDOUSDT,0.58525,0.58531,5.999999999994898e-05,0.010251503553845848,-0.0021748600000000002,0.5849,0.585,9.999999999998899e-05,0.017095478246002053
BNB,BNB/USDT:USDT,BNBUSDT,863.23,863.31,0.07999999999992724,0.009267089091469324,0.0027774099999999997,863.95,863.96,0.009999999999990905,0.0011574676921819892
XLM,XLM/USDT:USDT,XLMUSDT,0.22161,0.22163,1.9999999999992246e-05,0.009024456276505843,0.00125,0.22162,0.22163,9.999999999982245e-06,0.004512126339529496
HBAR,HBAR/USDT:USDT,HBARUSDT,0.11528,0.11529,1.0000000000010001e-05,0.008674155354131068,0.00125,0.11528,0.11529,1.0000000000010001e-05,0.008674155354131068
TIA,TIA/USDT:USDT,TIAUSDT,0.47418,0.47422,3.999999999998449e-05,0.008435259384222795,0.01617992,0.4742,0.4743,9.999999999998899e-05,0.02108592514496341
DOGE,DOGE/USDT:USDT,DOGEUSDT,0.12392,0.12393,9.999999999996123e-06,0.00806939681258513,-0.00089195,0.12392,0.12393,9.999999999996123e-06,0.00806939681258513
SOL,SOL/USDT:USDT,SOLUSDT,124.16,124.17,0.010000000000005116,0.008053799379861568,-0.0048278800000000005,124.15,124.16,0.009999999999990905,0.00805444806893875
AVAX,AVAX/USDT:USDT,AVAXUSDT,12.68,12.681,0.0009999999999994458,0.007886124364176853,-0.00447989,12.678,12.679,0.0009999999999994458,0.007887368379535796
UNI,UNI/USDT:USDT,UNIUSDT,6.3523,6.3528,0.0005000000000006111,0.00787085501098946,-0.00237228,6.347,6.348,0.0009999999999994458,0.01575423395036543
LTC,LTC/USDT:USDT,LTCUSDT,79.074,79.08,0.006000000000000227,0.007587541257255874,0.00807497,79.08,79.09,0.010000000000005116,0.012644622874129246
FIL,FIL/USDT:USDT,FILUSDT,1.3415,1.3416,9.999999999998899e-05,0.007454064328574336,0.01161968,1.342,1.343,0.0009999999999998899,0.07448789571693779
ZEC,ZEC/USDT:USDT,ZECUSDT,527.39,527.42,0.029999999999972715,0.005688228211710681,0.00085356,527.15,527.16,0.009999999999990905,0.001896975272925592
XRP,XRP/USDT:USDT,XRPUSDT,1.864,1.8641,9.999999999998899e-05,0.00536466296504863,-0.0035182000000000004,1.8638,1.8639,9.999999999998899e-05,0.005365238618986989
DOT,DOT/USDT:USDT,DOTUSDT,1.8711,1.8712,9.999999999998899e-05,0.0053443069769921695,-0.0025911,1.871,1.872,0.001000000000000112,0.05343307507347646
PYTH,PYTH/USDT:USDT,PYTHUSDT,0.061024,0.061027,2.9999999999960614e-06,0.004915977747000945,-0.00616508,0.06102,0.06103,1.0000000000003062e-05,0.016386726751336442
TRX,TRX/USDT:USDT,TRXUSDT,0.2844,0.28441,1.0000000000010001e-05,0.0035161125859285176,-0.0023636399999999998,0.28436,0.28437,1.0000000000010001e-05,0.003516607177398766
ETH,ETH/USDT:USDT,ETHUSDT_260626,2941.0,2941.1,0.09999999999990905,0.0034001462062837775,0.0059978,3000.49,3000.85,0.36000000000012733,0.011997320598403935
ADA,ADA/USDT:USDT,ADAUSDT,0.36834,0.36835,1.0000000000010001e-05,0.0027148461360979514,0.00469391,0.3685,0.3686,9.999999999998899e-05,0.027133360466690813
GMX,GMX/USDT:USDT,GMXUSDT,8.3952,8.3954,0.00019999999999953388,0.0023822853263079802,-0.00121287,8.392,8.394,0.002000000000000668,0.02382938162755472
BTC,BTC/USDT:USDT,BTCUSDT_260626,87646.0,87647.0,1.0,0.0011409468718089142,0.0019794500000000002,89957.0,89977.5,20.5,0.02278606937524488
