coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
PYTH,PYTH/USDT:USDT,PYTHUSDT,0.060985,0.061,1.5000000000001124e-05,0.02459318768701254,0.06099,0.061,9.999999999996123e-06,0.016394786457900032
LTC,LTC/USDT:USDT,LTCUSDT,79.301,79.319,0.018000000000000682,0.022695750851091517,79.29,79.3,0.009999999999990905,0.01261113563275226
TRX,TRX/USDT:USDT,TRXUSDT,0.2844,0.28445,4.999999999999449e-05,0.017579326711785005,0.28438,0.28439,9.99999999995449e-06,0.003516359864252506
GMX,GMX/USDT:USDT,GMXUSDT,8.3866,8.3879,0.001300000000000523,0.015499716832102571,8.386,8.388,0.002000000000000668,0.023846428997265624
LDO,LDO/USDT:USDT,LDOUSDT,0.58604,0.58612,7.999999999996898e-05,0.01365001365000836,0.5857,0.5858,9.999999999998899e-05,0.017072129748184207
ADA,ADA/USDT:USDT,ADAUSDT,0.36887,0.36892,5.0000000000050004e-05,0.013553992328453897,0.3688,0.3689,9.999999999998899e-05,0.02711129185305381
AAVE,AAVE/USDT:USDT,AAVEUSDT,154.26,154.28,0.020000000000010232,0.01296428339924174,154.17,154.18,0.010000000000019327,0.006486135884559316
BCH,BCH/USDT:USDT,BCHUSDT,626.72,626.8,0.07999999999992724,0.012764056417117755,623.48,623.49,0.009999999999990905,0.0016038878240841247
WLD,WLD/USDT:USDT,WLDUSDT,0.50762,0.50768,6.0000000000060005e-05,0.011819166748756035,0.5074,0.5075,9.999999999998899e-05,0.019706375012314314
PENDLE,PENDLE/USDT:USDT,PENDLEUSDT,1.8946,1.8948,0.00019999999999997797,0.010555760806458963,1.8929,1.893,9.999999999998899e-05,0.005282759713673842
ENA,ENA/USDT:USDT,ENAUSDT,0.20856,0.20858,1.9999999999992246e-05,0.00958910677470022,0.2084,0.2085,9.999999999998899e-05,0.04797313504436987
TIA,TIA/USDT:USDT,TIAUSDT,0.47425,0.47429,3.999999999998449e-05,0.008434014379991249,0.474,0.4741,0.0001000000000000445,0.021094821221399537
BNB,BNB/USDT:USDT,BNBUSDT,864.29,864.36,0.07000000000005002,0.008098805426205424,864.91,864.92,0.009999999999990905,0.0011561829775169705
DOGE,DOGE/USDT:USDT,DOGEUSDT,0.124,0.12401,9.999999999996123e-06,0.008064190960038808,0.12399,0.124,9.999999999996123e-06,0.008064841324243819
SOL,SOL/USDT:USDT,SOLUSDT,124.2,124.21,0.009999999999990905,0.008051205668041468,124.18,124.19,0.009999999999990905,0.008052502315087091
LINK,LINK/USDT:USDT,LINKUSDT,12.464,12.465,0.0009999999999994458,0.008022784708567899,12.46,12.461,0.0009999999999994458,0.008025360138031748
AVAX,AVAX/USDT:USDT,AVAXUSDT,12.676,12.677,0.0009999999999994458,0.007888612787436956,12.675,12.676,0.0009999999999994458,0.007889235138648936
NEAR,NEAR/USDT:USDT,NEARUSDT,1.5736,1.5737,9.999999999998899e-05,0.006354653194801193,1.573,1.574,0.001000000000000112,0.06355258976804015
TON,TON/USDT:USDT,TONUSDT,1.6508,1.6509,9.999999999998899e-05,0.00605748553775261,1.6497,1.6498,9.999999999998899e-05,0.006061524473404394
APT,APT/USDT:USDT,APTUSDT,1.7226,1.7227,9.999999999998899e-05,0.0058050097233906485,1.7221,1.7222,9.999999999998899e-05,0.0058066951194721125
XRP,XRP/USDT:USDT,XRPUSDT,1.8651,1.8652,9.999999999998899e-05,0.005361499075140819,1.8644,1.8645,9.999999999998899e-05,0.005363512027675131
JUP,JUP/USDT:USDT,JUPUSDT,0.19879,0.1988,1.0000000000010001e-05,0.005030307603314973,0.1987,0.1988,0.00010000000000001674,0.050314465408813465
UNI,UNI/USDT:USDT,UNIUSDT,6.3588,6.3591,0.000300000000000189,0.004717760007551388,6.353,6.354,0.001000000000000334,0.01573935626033421
ETH,ETH/USDT:USDT,ETHUSDT_260626,2941.4,2941.5,0.09999999999990905,0.0033996838294007735,3000.91,3001.39,0.4800000000000182,0.015993869016877472
AR,AR/USDT:USDT,ARUSDT,3.7179,3.718,9.999999999976694e-05,0.0026896542449405436,3.713,3.714,0.0009999999999998899,0.026928773394368923
ZEC,ZEC/USDT:USDT,ZECUSDT,528.53,528.54,0.009999999999990905,0.0018920222880208324,527.78,527.79,0.009999999999990905,0.0018947109144804998
BTC,BTC/USDT:USDT,BTCUSDT_260626,87646.0,87647.0,1.0,0.0011409468718089142,89938.6,89952.7,14.099999999991269,0.015676133309383243
