coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
BTC,BTC/USDT:USDT,BTCUSDT_260626,,,,,90146.8,90156.1,9.30000000000291,0.010315973841799449
ETH,ETH/USDT:USDT,ETHUSDT_260626,,,,,3007.62,3007.95,0.32999999999992724,0.010971528882547365
SOL,SOL/USDT:USDT,SOLUSDT,,,,,124.63,124.64,0.010000000000005116,0.008023428410964109
ZEC,ZEC/USDT:USDT,ZECUSDT,,,,,536.21,536.22,0.009999999999990905,0.0018649235847544182
DOGE,DOGE/USDT:USDT,DOGEUSDT,,,,,0.12435,0.12436,9.999999999996123e-06,0.008041494109602448
