coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
BTC,BTC/USDT:USDT,BTCUSDT_260626,,,,,90045.8,90063.0,17.19999999999709,0.019099566484255173
ETH,ETH/USDT:USDT,ETHUSDT_260626,,,,,3004.25,3004.69,0.44000000000005457,0.014644845846357413
SOL,SOL/USDT:USDT,SOLUSDT,,,,,124.43,124.44,0.009999999999990905,0.008036324185310327
ZEC,ZEC/USDT:USDT,ZECUSDT,,,,,535.82,535.83,0.009999999999990905,0.0018662809685981252
DOGE,DOGE/USDT:USDT,DOGEUSDT,,,,,0.12417,0.12418,9.999999999996123e-06,0.008053150795245519
LTC,LTC/USDT:USDT,LTCUSDT,,,,,79.38,79.39,0.010000000000005116,0.01259683819361985
XRP,XRP/USDT:USDT,XRPUSDT,,,,,1.869,1.8691,9.999999999998899e-05,0.005350311655653352
BNB,BNB/USDT:USDT,BNBUSDT,,,,,864.48,864.49,0.009999999999990905,0.0011567580698324325
AVAX,AVAX/USDT:USDT,AVAXUSDT,,,,,12.679,12.68,0.0009999999999994458,0.007886746322800156
ENA,ENA/USDT:USDT,ENAUSDT,,,,,0.2087,0.2088,0.00010000000000001674,0.04790419161677449
AAVE,AAVE/USDT:USDT,AAVEUSDT,,,,,154.41,154.42,0.009999999999990905,0.006476054787417612
LINK,LINK/USDT:USDT,LINKUSDT,,,,,12.487,12.488,0.0009999999999994458,0.008008008008003569
ARB,ARB/USDT:USDT,ARBUSDT,,,,,0.1961,0.1962,0.00010000000000001674,0.050981391792004456
ADA,ADA/USDT:USDT,ADAUSDT,,,,,0.3696,0.3697,9.999999999998899e-05,0.027052617340724738
BCH,BCH/USDT:USDT,BCHUSDT,,,,,629.77,629.78,0.009999999999990905,0.0015878686832584503
TIA,TIA/USDT:USDT,TIAUSDT,,,,,0.4749,0.475,9.999999999998899e-05,0.021054847878721757
CRV,CRV/USDT:USDT,CRVUSDT,,,,,0.394,0.395,0.0010000000000000009,0.25348542458808637
TRX,TRX/USDT:USDT,TRXUSDT,,,,,0.28411,0.28412,1.0000000000010001e-05,0.0035197015293138346
WLD,WLD/USDT:USDT,WLDUSDT,,,,,0.5075,0.5076,0.00010000000000010001,0.019702492365303918
UNI,UNI/USDT:USDT,UNIUSDT,,,,,6.365,6.366,0.0009999999999994458,0.015709685020806625
