coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
BTC,BTC/USDT:USDT,BTCUSDT_260626,,,,,90181.5,90181.6,0.10000000000582077,0.00011088742653660395
ETH,ETH/USDT:USDT,ETHUSDT_260626,,,,,3006.96,3007.31,0.34999999999990905,0.01163898528000602
SOL,SOL/USDT:USDT,SOLUSDT,,,,,124.67,124.68,0.010000000000005116,0.008020854220978636
ZEC,ZEC/USDT:USDT,ZECUSDT,,,,,536.19,536.2,0.009999999999990905,0.0018649931461484916
DOGE,DOGE/USDT:USDT,DOGEUSDT,,,,,0.12446,0.12447,9.999999999996123e-06,0.00803438717711495
