coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
BTC,BTC/USDT:USDT,BTCUSDT_260626,,,,,90187.7,90200.0,12.30000000000291,0.013637293451829487
ETH,ETH/USDT:USDT,ETHUSDT_260626,,,,,3006.76,3007.05,0.2899999999999636,0.009644468315426116
SOL,SOL/USDT:USDT,SOLUSDT,,,,,124.63,124.64,0.010000000000005116,0.008023428410964109
ZEC,ZEC/USDT:USDT,ZECUSDT,,,,,536.07,536.08,0.009999999999990905,0.001865410623511804
DOGE,DOGE/USDT:USDT,DOGEUSDT,,,,,0.12443,0.12444,9.999999999996123e-06,0.00803632418531452
LTC,LTC/USDT:USDT,LTCUSDT,,,,,79.57,79.58,0.010000000000005116,0.012566760917379977
XRP,XRP/USDT:USDT,XRPUSDT,,,,,1.8691,1.8692,9.999999999998899e-05,0.005350025412620121
BNB,BNB/USDT:USDT,BNBUSDT,,,,,864.52,864.53,0.009999999999990905,0.0011567045487395858
AVAX,AVAX/USDT:USDT,AVAXUSDT,,,,,12.71,12.711,0.0009999999999994458,0.007867511112855087
ENA,ENA/USDT:USDT,ENAUSDT,,,,,0.2104,0.2105,9.999999999998899e-05,0.04751722499405511
